Name,Rating,Number of Ratings,Price,Winery,Wine style,Alcohol content,Grapes,Bold,Tannin,Sweet,Acidic,Country,Country_region,Beef,Pasta,Lamb,Poultry,Cheese,Fish,Seafood,Cured Meat,Veal,Pork,Mushrooms,"Rich fish (salmon, tuna etc)",Aperitif,Appetizers and snacks,Vegetarian,Shellfish,Blue cheese,Mature and hard cheese,Lean fish,"Game (deer, venison)",Goat cheese,Fruity desserts,Mild and soft cheese,Sweet desserts,Spicy food
Shiraz 2019,3.8,37,22.9,Ben Haines,Australian Shiraz,13.5,100 Shiraz/Syrah,81.6,52.63,4.19,55.29,Australia,Victoria / Western Victoria / Grampians,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Bobbie Burns Shiraz 2013,3.8,316,33.37,Campbells,Australian Shiraz,14.5,100 Shiraz/Syrah,81.93,40.7,18.98,41.04,Australia,Victoria / North East Victoria / Rutherglen,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Footbolt Shiraz 2019,3.8,474,17.99,d'Arenberg,Australian Shiraz,14.5,100 Chardonnay,84.15,50.04,17.74,45.29,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Siblings Shiraz 2018,3.8,162,25.2,Leeuwin Estate,Australian Shiraz,13.5,100 Shiraz/Syrah,82.93,45.91,15.63,45.57,Australia,Western Australia / South West Australia / Margaret River,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Angela Shiraz 2018,3.9,90,25.5,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,84.88,48.36,23.71,45.04,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Now by Paxton Shiraz 2021,3.8,26,19.99,Paxton,Australian Shiraz,14.0,100 Shiraz/Syrah,81.46,44.26,16.78,43.59,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Stump Jump White Blend 2019,3.9,100,11.99,d'Arenberg,Australian Riesling,11.5,"54 Riesling, 30 Marsanne, 16 Roussanne",44.259,46.29526972,9.05,53.555,Australia,South Australia / Fleurieu / McLaren Vale,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Pride of the Fleurieu Cabernet Sauvignon 2015,3.9,81,19.99,Dandelion Vineyards,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,68.15,52.87,8.0,53.22,Australia,South Australia / Fleurieu,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Prelude Vineyards Chardonnay 2020,3.9,153,34.99,Leeuwin Estate,Australian Chardonnay,13.5,100 Chardonnay,54.0391,46.29526972,9.05,53.555,Australia,Western Australia / South West Australia / Margaret River,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Moppa Shiraz 2017,4.0,376,32.99,Kalleske,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,43.27,21.77,41.77,Australia,South Australia,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Bin 51 Riesling 2019,3.9,151,42.99,Penfolds,Australian Riesling,12.5,100 Riesling,42.4737,46.29526972,9.05,53.555,Australia,South Australia / Barossa / Eden Valley,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Cuvée Juveniles 2019,3.9,198,18.99,Torbreck,Australian Rhône Blend Red,15.0,"Shiraz/Syrah, Grenache, Mourvedre",85.0,47.1,12.78,45.01,Australia,South Australia / Barossa,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Steading 2017,4.1,526,37.98,Torbreck,Australian Rhône Blend Red,15.0,"Shiraz/Syrah, Mataro, Grenache",85.0,45.38,10.77,43.06,Australia,South Australia / Barossa / Barossa Valley,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Shiraz 2018,3.8,203,18.99,Thomas Goss,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,49.22,20.21,44.79,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Shays Flat Vineyard Shiraz 2014,3.8,225,22.48,Domaine Tournon,Australian Shiraz,14.5,100 Shiraz/Syrah,84.72,49.1,19.42,43.61,Australia,Victoria / Western Victoria / Pyrenees,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Ladies Who Shoot Their Lunch Shiraz 2018,4.0,65,44.09,Fowles Wine,Australian Shiraz,14.0,100 Shiraz/Syrah,84.11,45.44,15.41,47.67,Australia,Victoria,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Scooter Merlot 2015,3.9,701,27.99,Mollydooker,Australian Merlot,15.0,100 Merlot,68.86,19.81,10.28,10.47,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Filius Cabernet Sauvignon 2018,3.9,554,20.89,Vasse Felix,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,65.23,55.48,3.89,54.53,Australia,Western Australia / South West Australia / Margaret River,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Bolter Shiraz 2018,3.9,48,14.95,Mr. Riggs,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,44.65,17.81,42.15,Australia,South Australia,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Tolmer Cabernet Sauvignon 2019,3.8,253,29.28,Penley Estate,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,66.68,60.92,7.64,54.65,Australia,South Australia / Limestone Coast / Coonawarra,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Director's Cut Shiraz 2012,4.1,1091,35.99,Heartland,Australian Shiraz,14.8,100 Shiraz/Syrah,85.0,45.85,21.67,42.02,Australia,South Australia / Fleurieu / Langhorne Creek,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Mother's Milk Shiraz 2020,3.9,154,16.14,First Drop,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,42.44,18.06,42.39,Australia,South Australia / Barossa,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Max's Cabernet Sauvignon 2016,3.9,1111,19.99,Penfolds,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,68.33,55.45,7.89,53.45,Australia,South Australia,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Boxer Shiraz 2018,4.1,3094,27.99,Mollydooker,Australian Shiraz,16.0,100 Shiraz/Syrah,85.0,47.06,22.26,42.96,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Filius Chardonnay 2020,3.9,295,20.89,Vasse Felix,Australian Chardonnay,12.5,100 Chardonnay,53.1818,46.29526972,9.05,53.555,Australia,Western Australia / South West Australia / Margaret River,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Snake Charmer Shiraz 2016,3.9,173,33.99,Vinaceous,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,45.85,18.44,44.92,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Cliff Edge Shiraz 2015,3.9,174,32.0,Mount Langi Ghiran,Australian Shiraz,14.0,100 Shiraz/Syrah,82.99,44.17,19.26,44.85,Australia,Victoria / Western Victoria / Grampians,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Maitre d'Cabernet Sauvignon 2019,4.0,380,25.94,Mollydooker,Australian Cabernet Sauvignon,16.0,100 Cabernet Sauvignon,70.23,56.28,13.08,53.49,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bugalugs Shiraz 2020,4.0,51,21.99,Tim Smith,Australian Shiraz,14.0,100 Shiraz/Syrah,85.0,40.59,19.82,43.15,Australia,South Australia / Barossa,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Highbury Fields Chardonnay 2019,3.8,30,26.67,Forest Hill,Australian Chardonnay,13.0,100 Chardonnay,52.8461,46.29526972,9.05,53.555,Australia,Western Australia / South West Australia / Great Southern / Mount Barker,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Ladies Who Shoot Their Lunch Wild Ferment Chardonnay 2019,4.2,27,43.99,Fowles Wine,Australian Chardonnay,13.3,100 Chardonnay,58.9356,46.29526972,9.05,53.555,Australia,Victoria / Central Victoria / Strathbogie Ranges,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
The Scooter Merlot 2020,3.8,29,27.99,Mollydooker,Australian Merlot,15.5,100 Merlot,68.86,19.81,10.28,10.47,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Titan Cabernet Sauvignon 2019,4.2,46,19.99,Alpha Crucis,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,69.42,60.84,0.72,53.97,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bin 28 Shiraz 2019,4.1,1074,26.99,Penfolds,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,46.42,20.04,42.9,Australia,South Australia / Barossa / Barossa Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Steading 2018,4.1,492,35.25,Torbreck,Australian Rhône Blend Red,15.0,Grenache,85.0,45.38,10.77,43.06,Australia,South Australia / Barossa / Barossa Valley,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Miss Molly Sparkling Shiraz 2019,3.8,116,27.99,Mollydooker,Australian Sparkling Shiraz,15.0,Shiraz/Syrah,61.73,46.29526972,9.05,53.555,Australia,South Australia / Limestone Coast / Padthaway,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
Shiraz 2014,3.8,484,26.99,Yangarra,Australian Shiraz,14.0,100 Shiraz/Syrah,84.96,47.27,18.28,42.73,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Promised Land Shiraz 2019,3.9,315,6.5,Taylors / Wakefield,Australian Shiraz,14.0,100 Shiraz/Syrah,83.33,45.89,19.63,43.5,Australia,South Australia,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Plexus Red 2013,3.9,315,29.98,John Duval,Australian Rhône Blend Red,14.5,"Mourvedre, Grenache",85.0,43.74,9.25,43.42,Australia,South Australia / Barossa / Barossa Valley,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Field Street Shiraz 2018,3.9,71,25.0,S.C. Pannell,Australian Shiraz,14.0,100 Shiraz/Syrah,84.2,49.61,13.56,46.65,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Estate Shiraz 2018,3.9,1542,22.32,Taylors / Wakefield,Australian Shiraz,14.0,100 Shiraz/Syrah,84.48,45.08,22.76,43.13,Australia,South Australia / Mount Lofty Ranges / Clare Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Entity Shiraz 2018,4.3,331,34.94,John Duval,Australian Shiraz,14.5,100 Shiraz/Syrah,84.27,45.34,21.84,43.32,Australia,South Australia / Barossa / Barossa Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
L-BLOCK Shiraz 2013,4.0,51,25.98,Domaine Terlato & Chapoutier,Australian Shiraz,14.5,Shiraz/Syrah,85.0,53.74,20.74,46.35,Australia,Victoria / Western Victoria / Pyrenees,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Puritan Shiraz 2019,3.8,80,20.0,Battle of Bosworth,Australian Shiraz,14.5,100 Shiraz/Syrah,81.95,45.02,18.86,46.2,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Steading 2019,4.1,170,36.0,Torbreck,Australian Rhône Blend Red,15.0,"53 Grenache, 28 Shiraz/Syrah, 19 Mataro",85.0,45.38,10.77,43.06,Australia,South Australia / Barossa / Barossa Valley,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Max's Cabernet Sauvignon 2017,3.8,706,19.99,Penfolds,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,68.33,55.45,7.89,53.45,Australia,South Australia,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Shiraz (Signature) 2019,3.8,117,22.67,Robert Oatley,Australian Shiraz,14.5,100 Shiraz/Syrah,84.19,43.25,16.84,40.69,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
M3 Chardonnay 2020,4.0,289,45.33,Shaw + Smith,Australian Chardonnay,13.5,100 Chardonnay,54.0862,46.29526972,9.05,53.555,Australia,South Australia / Mount Lofty Ranges / Adelaide Hills,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Lionheart of the Barossa Shiraz 2019,3.9,2013,25.99,Dandelion Vineyards,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,47.31,21.53,43.37,Australia,South Australia / Barossa / Barossa Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Mother's Milk Shiraz 2019,3.9,644,16.14,First Drop,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,42.44,18.1,42.39,Australia,South Australia / Barossa,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Sexy Beast Cabernet Sauvignon 2017,3.9,907,26.7,Two Hands,Australian Cabernet Sauvignon,13.4,100 Cabernet Sauvignon,67.93,56.53,10.92,54.68,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
